janamdivas	जन्मदिवस
mention	मैंशन
ghatiyaa	घटिया
mairathan	मैराथन
mangalwar	मंगलवार
aadhikya	आधिक्य
thankaa	ठनका
dham	धम
pahredaaron	पहरेदारों
sunvaeye	सुनवाए
ruchir	रुचिर
karyapranali	कार्यप्रणाली
funtush	फंटूश
shaadiyaan	शादियां
fareb	फरेब
hoshiyarpur	होशियारपुर
pitaron	पितरों
bhagoda	भगोड़ा
paramount	पैरामाउंट
dhalna	ढालना
vistarpurvak	विस्तारपूर्वक
rahti	रहती
extreme	एक्सट्रीम
sadiyan	सदियां
raigadh	रायगढ़
paint	पेंट
chura	चूरा
fellowship	फेलोशिप
sunvayiyon	सुनवाइयों
uthaein	उठाएं
reny	रेनी
padosiyon	पड़ोसियों
wasseypur	वासेपुर
alakataraa	अलकतरा
sudharata	सुधारता
pahunchane	पहुंचने
brijlal	बृजलाल
chinti	चींटी
roozvelt	रूज़वेल्ट
shrtchandr	शरतचंद्र
baithe	बैठें
thekuwa	ठेकुआ
deshbhaktipoorna	देशभक्तिपूर्ण
devision	डिविजन
siddhanton	सिद्धांतो
aapekshit	आपेक्षित
chheelikon	छिलकों
mazhab	मजहब
flexible	फ्लेक्सिबल
lenden	लेनदेन
shrung	शृंग
gruhiniyon	गृहिणियों
bhangra	भांगड़ा
thaharta	ठहरता
karvayen	करवाएं
pakkad	फक्कड़
shikanje	शिकंजे
pinocchio	पिनोकियो
mukhabir	मुखबिर
janakarosh	जनाक्रोश
laakha	लाखा
muavaje	मुआवजे
atyantik	आत्यंतिक
phaan	फान
thaapa	थापा
joglekar	जोगलेकर
swachaalit	स्वचालित
easton	ईस्टन
kharpatvaar	खरपतवार
aadarshvaad	आदर्शवाद
prtilipiyan	प्रतिलिपियां
chhen	छेन
isis	आईएसआईएस
vittposhan	वित्तपोषण
vidrohiyon	विद्रोहियों
rashtradrohi	राष्ट्रद्रोही
sevanivritti	सेवानिवृत्ति
mukhdhaam	मुक्तिधाम
medy	मेडी
botalchand	बोतलबंद
lashon	लाशों
kamble	कांबले
bhavishyvani	भविष्यवाणी
baraks	बरक्स
davon	दावों
bjri	बजरी
sangrhon	संग्रहों
squat	स्क्वाट
jamaakartaa	जमाकर्ता
digilockar	डिजिलॉकर
ekjutata	एकजुटता
rokein	रोकें
freezing	फ्रीजिंग
kartal	करतल
khinchon	खींचो
deputey	डिप्टी
niraashajanak	निराशजनक
meghnaad	मेघनाद
khoonti	खूंटी
hudson	हडसन
katen	काटें
doorbinon	दूरबीनों
varbarge	वारबर्ग
vyask	व्यस्क
akushal	अकुशल
vistarwaad	विस्तारवाद
seep	सीप
maaon	मांओं
jitaayaa	जिताया
kanoonon	कानूनों
judav	जुड़ाव
chaturai	चतुराई
kumkum	कुमकुम
kamasin	कमासिन
sanghshasit	संघशासित
ajmaesh	आजमाईश
adhimar	अधिभार
kumbhar	कुम्भार
unitone	यूनिटों
anubandhit	अनुबंधित
tagadi	तगड़ी
jharnon	झरनों
kathputaliyon	कठपुतलियों
wejdan	विजडन
scraper	स्क्रैपर
vishwastar	विश्वस्तर
ghodon	घोड़ों
laabhhaani	लाभहानि
sadsyon	सदस्यों
kathbart	कथबर्ट
aghoriyon	अघोरियों
rambhadracharya	रामभद्राचार्य
jagadip	जगदीप
lagaya	लगाया
suvidhaon	सुविधाओं
namunon	नमूनों
ayansh	अयनांश
manifasto	मैनीफेस्टो
sukhdayak	सुखदायक
smell	स्मेल
singhal	सिंघल
avivekpuran	अविवेकपूर्ण
bharatvirothi	भारतविरोधी
sabne	सबने
jhu	झू
mulank	मूलांक
jwalamukhi	ज्वालामुखी
touch	टच
apsraon	अप्सराओं
kharidaari	खरीदारी
tihara	तिहरा
kamaani	कमानी
prayojakon	प्रायोजकों
bms	बीएमएस
rahasyvad	रहस्यवाद
vidhyadhar	विद्याधर
vedokt	वेदोक्त
dwapar	द्वापर
janjati	जनजाति
steam	स्ट्रीम
navdurgaon	नवदुर्गाओं
tileage	टिलेज
poonjeevaadi	पूंजीवादी
hattangadi	हट्टंगड़ी
ativishisht	अतिविशिष्ट
hridayaghat	हृदयाघात
ayojit	अयोजित
daalcheenee	दालचीनी
trench	ट्रेंच
preetibhoj	प्रीतिभोज
sanday	संडे
gurubhakti	गुरुभक्ति
pratikriyaon	प्रतिक्रियाओं
bahegi	बहेगी
toweron	टावरों
hathaude	हथौड़े
uthaai	उठाई
sevaen	सेवाएं
paripekshya	परिपेक्ष्य
amrutpan	अमृतपान
mansion	मेंशन
myth	मिथ
aavaaseeya	आवासीय
upyogitawad	उपयोगितावाद
maanate	मानते
jayshree	जयश्री
avrut	आवृत्त
jaamwant	जामवंत
tadapata	तड़पता
sabhasthal	सभास्थल
inkey	इनके
sandharitr	संधारित्र
generio	जेनेरियो
bitaanaa	बिताना
topon	तोपों
kuhaase	कुहासे
ghosi	घोसी
rudraksh	रुद्राक्ष
nirvaasan	निर्वासन
ubharti	उभरती
dikhnewale	दिखनेवाले
chhitra	छितरा
vijayamal	विजयमल
dhadak	धड़क
vidvaanon	विद्वानों
sabriyan	सर्बियन
praydrip	प्रायद्वीप
charbi	चर्बी
sanhitaon	संहिताओं
chaturbhurji	चतुर्भुजी
drift	ड्रिफ्ट
spongy	स्पंजी
lautane	लौटाने
goradia	गोराडिया
rasoee	रसोई
pratidhvani	प्रतिध्वनि
sunari	सुनारी
lucian	लुसियन
nirpur	नीरपुर
siachen	सियाचिन
rutuon	ऋतुओं
acchut	अछूत
upajaoo	उपजाऊ
bagavan	बागवान
prtyasha	प्रत्याशा
versova	वर्सोवा
weset	वीसैट
baah	बाह
bandaron	बंदरों
kroeshiya	क्रोएशिया
mahavidyalayon	महाविद्यालयों
stefunny	स्टीफनी
pachadte	पछाड़ते
uptawn	अप्टॉन
mahasaagaron	महासागरों
shaalaa	शाला
chauthmal	चौथमल
rahsyapurn	रहस्यपूर्ण
dweepsamuh	द्वीपसमूह
iz	इज़
parakha	परखा
jalladon	जल्लादों
pravidhi	प्रविधि
jmane	जमाने
muhavaron	मुहावरों
omkarnath	ओंकारनाथ
jhelne	झेलने
lurhakanaa	लुढ़कना
trichur	त्रिचूर
starch	स्टार्च
talvaarbaaj	तलवारबाज
musibaten	मुसीबतें
sinhasan	सिंहासन
festival	फेस्टीवल
vayade	वायदे
aavishakarak	आविष्कारक
gunank	गुणांक
eyarlayins	एयरलाइन्स
poliester	पॉलिएस्टर
dharmnirpeksha	धर्मनिरपेक्ष
shaktiheen	शक्तिहीन
duraachaar	दुराचार
hammer	हैमर
panchkosi	पंचकोसी
patakhon	पटाखों
eklaute	एकलौते
oriya	ओरिया
meethey	मीठे
lensdon	लैंसडौन
ahinsak	अहिंसक
aajmane	आजमाने
masani	मसानी
madenajar	मद्देनजर
mahaj	महज़
awashesho	अवशेषों
pista	पिसता
vicharottejak	विचारोत्तेजक
faiti	फैटी
chintayen	चिंताएं
padhnaa	पढ़ना
laaji	लाजी
zahreele	ज़हरीले
tathyagat	तथ्यगत
vastushastra	वास्तुशास्त्र
khadaanon	खदानों
khadija	खदीजा
photographeron	फोटोग्राफरों
jtaate	जताते
milte	मिलते
nyuntam	न्युनतम
mahanagari	महानगरी
hatheli	हथेली
whip	व्हिप
brihat	बृहत
ecg	ईसीजी
basaya	बसाया
vibheid	विभेद
nyunta	न्यूनता
dhvaniyon	ध्वनियों
bhumadhysagariy	भूमध्यसागरीय
ghunghat	घुंघट
goraksh	गोरक्ष
vidyarthiyo	विद्यार्थियो
naukarshahi	नौकरशाही
utarne	उतरने
jhadapen	झडपें
nibhaaae	निभाए
jakharh	जाखड़
parakhana	परखना
penguin	पेंगुइन
kharida	खरीदा
aamol	अमोल
hpv	एचपीवी
anumat	अनुमत
lifetime	लाइफटाइम
dorahe	दोराहे
shuddhikarn	शुद्धिकरण
vaniki	वानिकी
bhakton	भक्तों
pentagon	पेंटागन
bajay	बजाय
saubhagyshali	सौभाग्यशाली
rashtramandal	राष्ट्रमंडल
hypothyroidism	हाइपोथायरायडिज्म
dijitalikaran	डिजिटलीकरण
prasthapit	प्रस्थापित
nalcoop	नलकूप
groom	ग्रूम
manorama	मनोरमा
bowman	बोमैन
reak	रिक
sanghiiya	संघीय
aakramankaari	आक्रमणकारी
ramaswamy	रामास्वामी
rojmarra	रोजमर्रा
cyberspace	साइबरस्पेस
habbit	हॉबिट
chuhe	चूहे
gothakhoroun	गोताखोरों
pakadta	पकड़ना
basnet	बस्नेत
asp	एएसपी
tairta	तैरता
each	ईच
kharpatwar	खरपतवार
kairi	कादिरी
asahayta	असहायता
kurdish	कुर्दिश
damru	डमरू
waiters	वेट्स
kathinaai	कठिनाई
esha	एशा
sunai	सुनाई
pors	पोर्स
suzi	सूझी
taapiya	तापीय
uchehara	उचेहरा
nimboo	नींबू
amrikan	अमरीकन
balwant	बलवंत
kalita	कलिता
janmdhata	जन्मदाता
inquilaab	इंकलाब
uber	उबर
dakhalandaaji	दख़लंदाज़ी
nishastrikaran	निशस्त्रीकरण
tijoriyon	तिजोरियों
sansadhanon	संसाधनों
subhreet	सुभरीत
ugrawadi	उग्रवादी
vikalata	विकलता
supersport	सुपरस्पोर्ट
pradataon	प्रदाताओं
smel	स्मेल
prashnapatron	प्रश्नपत्रों
alpsankhyakwaad	अल्पसंख्यकवाद
vyastha	व्यस्था
brookings	ब्रुकिंग्स
shroton	श्रोतों
gunday	गुंडे
anguthiyon	अंगूठियों
kelkar	केलकर
awareness	अवेयरनेस
churchon	चर्चों
vyanjanon	व्यंजनों
copiyan	कॉपियां
punarjeevit	पुनर्जीवित
paandavkaalin	पांडवकालीन
gyarahven	ग्यारहवें
patamda	पटमदा
samnvayavadi	समन्वयवादी
chihattr	छिहत्तर
bhujaen	भुजाएं
itteyfak	इत्तेफाक
ultiyon	उल्टियों
hamen	हमें
machchharon	मच्छरों
sarvatkrusht	सर्वोत्कृष्ट
ladli	लाडली
magnitude	मैग्नीट्यूड
chunindaa	चुनिंदा
dirghakaaalik	दीर्घकालिक
samarthakon	समर्थकों
marker	मार्कर
sutaji	सूतजी
beaton	बीटन
daavedaree	दावेदारी
laajpat	लाजपत
upniveshan	उपनिवेशन
changesha	चांगशा
dhabbaa	धब्बा
halen	हेलन
chhuachhut	छुआछूत
madhavraav	माधवराव
gulal	गुलाल
cantor	कैंटर
teerthyatriyon	तीर्थयात्रियों
shrinkhalaaon	शृंखलाओं
asamaantaa	असमानता
vilasi	विलासी
tirthsthalo	तीर्थस्थलों
kapatoddhagan	कपाटोद्घाटन
goddard	गोडार्ड
parvaaha	परवाह
kitty	किटी
rakhein	रखें
odhane	ओढ़ने
tripitak	त्रिपिटक
bhatthi	भट्ठी
yugoslavia	युगोस्लाविया
anganbadi	आंगनवाड़ी
samacharon	समाचारों
utaavali	उतावली
adharhin	आधारहीन
doothon	दूतों
saptahaant	सप्ताहांत
justice	जस्टिस
navjaat	नवजात
barhat	बारहट
paakad	पाकड़
anaavrishti	अनावृष्टि
theharte	ठहरते
upsamuhon	उपसमूहों
sorm	सोरम
meharban	मेहरबान
jaanchkartaon	जांचकर्ताओं
pathataa	पढ़ता
vidhividhaan	विधिविधान
jnter	जंतर
aparimiti	अपरिमित
avaidhanik	अवैधानिक
words	वर्ड्स
avehalanaa	अवेहलना
precedent	प्रेसिडेंट
chhaapi	छापी
majma	मजमा
jajmaan	जजमान
shigrata	शीघ्रता
chhandon	छंदों
bhaktgan	भक्तगण
tvacha	त्वचा
bhagidaar	भागीदार
madaen	मादाएं
appealkartaa	अपीलकर्ता
basudev	बासुदेव
arthkari	अर्थकरी
geographi	ज्योग्राफी
jyotirgamaya	ज्योतिर्गमय
jaayengi	जाएंगी
chipkakar	चिपकाकर
gunth	गूंथ
kalten	कार्लटन
belivers	बिलीवर्स
pakhand	पाखंड
rokate	रोकते
karvakar	करवाकर
buying	बाइंग
chadhati	चढ़ाती
kangaal	कंगाल
saralikaran	सरलीकरण
lahidi	लाहिड़ी
nikalti	निकालती
osmosis	ऑस्मोसिस
panjiyan	पंजीयन
ullu	उल्लू
quotation	कोटेशन
karvaega	करवाएगा
taxiyan	टैक्सियां
shehzaadon	शहजादों
byaa	बया
vishaily	विषैले
chalnevale	चलनेवाले
ichchit	इच्छित
paalitaanaa	पालीताणा
krambaddh	क्रमबद्ध
gujiya	गुजिया
brit	ब्रिट
sushasan	सुशासन
sikhachon	सीखचों
mangoo	मंगू
maholi	महोली
banaas	बनास
anoopgarh	अनूपगढ
kanunon	कानूनों
mogari	मोगरी
parvej	परवेज़
machhuare	मछुआरे
khaybar	खैबर
ummeedein	उम्मीदें
mahrauli	महरौली
rakatbeej	रक्तबीज
semariya	सेमरिया
avyavasthaon	अव्यवस्थाओं
mrityudand	मृत्युदंड
dhanwan	धनवान
architecture	आर्किटेक्चर
niyagraa	नियाग्रा
welfare	वेलफेयर
missilein	मिसाइलें
chuttiyon	छुट्टियों
mragiyon	मृगियों
sapru	सप्रू
lagwaya	लगवाया
digilocker	डिजिलॉकर
tasan	टशन
doriya	डोरिया
dikhya	दिखया
khankhana	खानखाना
ikaayion	ईकाईयों
beautiful	ब्यूटीफुल
ghatkon	घटकों
aalot	आलोट
paarshva	पार्श्व
srifal	श्रीफल
pratykshikaran	प्रत्यक्षीकरण
mahasammelan	महासम्मेलन
pratisthapana	प्रतिस्थापना
breadman	ब्रैडमैन
yaadein	यादें
taatra	टाट्रा
gopad	गोपद
bhoopti	भूपति
hardev	हरदेव
sunaar	सुनार
jansvasthy	जनस्वास्थ्य
sidco	सिडको
kadai	कड़ाई
adhirata	अधीरता
mochan	मोचन
atishigra	अतिशीघ्र
milein	मिलें
sooryavamsham	सूर्यवंशम
aadhaaron	आधारों
dusprabhavon	दुष्प्रभावों
milaajulaa	मिलाजुला
makdi	मकड़ी
yaunik	यौनिक
anjuman	अंजुमन
nettrutv	नेत्तृत्व
tairna	तैरना
saradhanaa	सरधना
neuron	न्यूरॉन
ashv	अश्व
jamikanad	जमीकंद
aapaatkalin	आपातकालीन
dwarkapitha	द्वारकापीठ
bhaavpoorn	भावपूर्ण
marky	मार्की
km	केएम
pighlane	पिघलाने
nirmohi	निर्मोही
jiyography	जियोग्राफी
sukshut	सुश्रुत
reactorone	रिएक्टरों
bagula	बगुला
anudeshak	अनुदेशक
nakkashidar	नक्काशीदार
deshvaasiyon	देशवासियों
daph	डफ
aakaankshi	आकांक्षी
pumps	पंप्स
rafoo	रफू
sabriya	सर्बिया
badharahit	बाधारहित
ghisa	घीसा
sj	एसजे
laangha	लांघ
punarvitaran	पुनर्वितरण
integrity	इंटीग्रिटी
sake	सैक
mandand	मानदंड
dakhlandaji	दख़लंदाज़ी
chashni	चाशनी
doorbhash	दूरभाष
plavan	प्लावन
sambhavnaen	संभावनाएं
raghuvansh	रघुवंश
ucchayukta	उच्चायुक्त
dhwaj	ध्वज
aanganbadi	आंगनबाड़ी
oberoy	ओबेरॉय
shehzaadi	शहजादी
britishkalin	ब्रिटिशकालीन
mahasaraswati	महासरस्वती
sanshodanon	संशोधनों
crommosome	क्रोमोसोम
mansij	मनसिज
vigyapti	विज्ञप्ति
quattrocchi	क्वात्रोची
chehron	चेहरों
tetoo	टैटू
laar	लार
elite	एलीट
daswan	दसवां
kayarta	कायरता
bagale	बगले
ghanton	घंटों
metrological	मेट्रोलॉजिकल
bangladeshiyon	बांग्लादेशियों
backborn	बैकबोन
benjamine	बेंजामिन
madhykarm	मध्यक्रम
vibhinntaon	विभिन्नताओं
samantvad	सामंतवाद
grihpravesh	गृहप्रवेश
asthai	अस्थाई
ssb	एसएसबी
jhuke	झुके
bhagavanpura	भगवानपुरा
paalki	पालकी
itihaaskaaron	इतिहासकारों
astvyast	अस्तव्यस्त
bagwani	बागवानी
isharon	इशारों
flightein	फ्लाइटें
crow	क्रो
jalgrahan	जलग्रहण
tisca	टिस्का
dhka	ढका
aadhra	आधर
geeton	गीतों
ramfal	रामफल
rutaba	रुतबा
edelade	एडीलेड
stanpan	स्तनपान
kartan	कार्टन
burve	बर्वे
janasanchar	जनसंचार
trisha	त्रिशा
kahataa	कहता
jaancho	जांचों
jahajon	जहाजों
lakdiyon	लकड़ियों
claurk	क्लॉर्क
failti	फैलती
avajein	आवाजें
poison	पॉइजन
whale	व्हेल
rachnakal	रचनाकाल
simdega	सिमडेगा
uksaane	उकसाने
vijar	विजर
nark	नर्क
slipping	स्लीपिंग
khaleelabaad	खलीलाबाद
chipkaye	चिपकाए
shodhpatr	शोधपत्र
rhna	रहना
honours	ऑनर्स
kabrgah	कब्रगाह
aron	एरोन
skandmata	स्कंदमाता
nuitrition	न्यूट्रीशन
jatiy	जातिय
ramphal	रामफल
vishwaspatra	विश्वासपात्र
hindutva	हिंदुत्व
chumane	चूमने
udati	उड़ाती
pandrah	पंद्रह
jalayen	जलाएं
ramaadaan	रमादान
mashini	मशीनी
sakegi	सकेगी
aatmnirbhar	आत्मनिर्भर
paramaartha	परमार्थ
pravistiyon	प्रविष्टियों
shreniyan	श्रेणियां
mauserey	मौसेरे
yashvantpur	यशवंतपुर
svabhavataya	स्वभावतया
coupers	कूपर्स
nirmaataaon	निर्माताओं
nishfal	निष्फल
ameriki	अमरीकी
vanari	वानरी
taalukaaon	तालुकाओं
sankatkalin	संकटकालीन
gyaarahaven	ग्यारहवें
punruddhar	पुनरुद्धार
phenkate	फेंकते
sparkle	स्पार्कल
chhoti	छोटी
punswan	पुंसवन
mirjapur	मिर्जापुर
ghota	घोटा
shikayaten	शिकायतें
vayi	वेई
freeway	फ्रीवे
balkon	बालकों
pok	पीओके
moyan	मोयन
bandhakar	बांधकर
aakaron	आकारों
brahmastra	ब्रह्मास्त्र
gandhak	गंधक
upmahadweepiye	उपमहाद्वीपीय
karauli	करौली
karyasheel	कार्यशील
bharatendu	भारतेंदु
avaad	अवाद
serviks	सर्विक्स
milata	मिलता
talleenata	तल्लीनता
beetey	बीते
upyokata	उपयोक्ता
paharon	पहाड़ों
bhartendu	भारतेंदु
aadharsheela	आधारशिला
teekoo	टीकू
bavon	भावों
baindon	बैंडों
maykhane	मयखाने
swatantrataa	स्वंतत्रता
hinayana	हीनयान
avolution	एवोल्यूशन
viruupan	विरूपण
pokhar	पोखर
cherian	चेरियन
pachasavin	पचासवीं
peetee	पीती
nawaj	नवाज
shiwala	शिवाला
vidhaarjan	विद्यार्जन
chahchahana	चहचहाना
highbrid	हाइब्रिड
jhul	झूल
trakrs	ट्रैकर्स
dayaron	दायरों
dakshinpaschimi	दक्षिणपश्चिमी
bannerman	बैनरमैन
danthal	डंठल
bhanajee	भांजी
badalte	बदलते
jaayegaa	जायेगा
gujre	गुजरे
yoddhaon	योद्धाओं
sarvaprmukh	सर्वप्रमुख
bagulaa	बगुला
shatruta	शत्रुता
janmt	जनमत
senapati	सेनापति
ganitagyon	गणितज्ञों
jhalaron	झालरों
denewaalaa	देनेवाला
ghumtaa	घूमता
igar	जिगर
cathod	कैथोड
mahej	महज़
kamgaron	कामगारों
tiloyi	तिलोई
udghoshna	उद्घोषणा
kahva	कहवा
macha	मचा
shifa	शिफा
vilasita	विलासिता
devika	देविका
khiri	खीरी
uchchadhikar	उच्चाधिकार
kalapan	कालापन
pichhadne	पिछड़ने
nazdiki	नजदीकी
wahanon	वाहनों
lungi	लुंगी
maanaa	माना
sajile	सजीले
jivandrshan	जीवनदर्शन
pillae	पिल्लई
sakendrit	संकेंद्रित
kaate	काटे
madhyashthata	मध्यस्थता
judie	जुड़ीं
samkalik	समकालिक
pahunchte	पहुंचते
paavay	पावय
nsg	एनएसजी
aadhaarik	आधारिक
chhamahi	छमाही
gosvamiji	गोस्वामीजी
chabaen	चबाएं
jaaykedaar	जायकेदार
pahnaave	पहनावे
bhagnavshesh	भग्नावशेष
crs	सीआरएस
khelte	खेलते
jujhataa	जूझता
jamakarta	जमाकर्ता
janleva	जानलेवा
aprakrtik	अप्राकृतिक
stuttgart	स्टटगार्ट
nirvasiton	निर्वासितों
bionic	बायोनिक
ashuddiyon	अशुद्धियों
fonon	फोनों
lawrance	लॉरेंस
chintaen	चिंताएं
shafeek	शफीक
avarnaneeya	अवर्णनीय
blessy	ब्लेसी
roopantarit	रूपांतरित
puche	पूछे
shetarfal	क्षेत्रफल
khandahar	खंडहर
sprinkler	स्प्रिंकलर
caspian	कैस्पियन
tunicea	ट्यूनीशिया
tithiyon	तिथियों
niptana	निपटाना
tarinko	तरीकों
hosanni	होस्नी
nakshon	नक्शों
singoli	सिंगोली
airo	एयरो
sahkarmiyon	सहकर्मियों
beiging	बीजिंग
sheershastha	शीर्षस्थ
cramer	क्रैमर
vyapi	व्यापी
sasni	सासनी
parvesh	परवेश
kathaakaron	कथाकारों
stenar	स्टेनर
yojanaon	योजनाआें
uttarpurvi	उत्तरपूर्वी
gaderiya	गड़ेरिया
prabhavon	प्रभावों
samajhdari	समझदारी
kukhyath	कुख्यात
rathyatra	रथयात्रा
jimnasticks	जिम्नास्टिक्स
netrutva	नेत्तृत्व
veermani	वीरमणि
pujariyon	पुजारियों
parisanghon	परिसंघों
unmadi	उन्मादी
cathdran	कैथड्रल
prashasakiy	प्रशासकीय
alpavadhi	अल्पावधि
geometri	ज्योमेट्री
president	प्रेसिडेंट
namkkal	नमक्कल
hotey	होते
skateboard	स्केटबोर्ड
shrenibaddh	श्रेणीबद्ध
bulayi	बुलायी
bhagaayaa	भगाया
pingali	पिंगली
aalekhon	आलेखों
sunharey	सुनहरे
aamos	आमोस
shahzadpur	शहजादपुर
kalpanayen	कल्पनाएं
fauladi	फौलादी
drivers	ड्राइवर्स
janwaad	जनवाद
uad	उड़
jaapani	जापानी
kartuton	करतूतों
shailiyan	शैलियां
reena	रीना
tiddi	टिड्डी
kavak	कवक
niyamaanukul	नियमानुकूल
freida	फ्रीडा
bhagodaa	भगोड़ा
rasoi	रसोई
aathvin	आठवीं
sharpshooter	शार्पशूटर
aksharsh	अक्षरश
brandy	ब्रांडी
banvate	बनवाते
mrudul	मृदुल
goes	गोज
cg	सीजी
chirsthaee	चिरस्थाई
graphin	ग्राफीन
convation	कन्वेशन
nityakarma	नित्यकर्म
rhate	रहते
choir	कॉयर
nabinagar	नबीनगर
swargashram	स्वर्गाश्रम
uniton	यूनिटों
curston	कर्स्टन
karyasathal	कार्यस्थल
kurutiyon	कुरीतियों
kathakaron	कथाकारों
peritoneal	पेरिटोनियल
saydna	सैयदना
coca	कोका
aashramon	आश्रमों
bachaati	बचाती
dirghakal	दीर्घकाल
matarani	मातारानी
vishwavidyalayon	विश्वविद्यालयों
sangolaa	सांगोला
samuche	समूचे
virakt	विरक्त
intersept	इंटरसेप्ट
muammar	मुअम्मर
bhadrwah	भदरवाह
ashrav	अश्व
mavali	मावली
barbaric	बर्बरीक
vrishbhanu	वृषभानु
gadte	गाड़ते
timeline	टाइमलाइन
chipke	चिपके
kalon	कालों
migra	मिग्रा
dikhlata	दिखलाता
anubha	अनुभा
befikra	बेफिक्र
shareshah	शेरशाह
architects	आर्किटेक्ट्स
hairo	हैरो
aabhasi	आभासी
kattarvadi	कट्टरवादी
poorano	पुराणों
andaajaa	अंदाजा
lukachipi	लुकाछिपी
aspatalon	अस्पतालों
gular	गुलर
batate	बताते
marryland	मेरीलैंड
dhvanik	ध्वनिक
padarthon	पदार्थों
spong	स्पंज
belize	बेलिज
saikat	सैकत
dhamni	धमनी
wings	विंग्स
partiyan	पार्टियां
chassis	चेसिस
surangen	सुरंगें
vigyapandaata	विज्ञापनदाताओं
shaivaalon	शैवालों
govardhananath	गोवर्धननाथ
fulaane	फुलाने
aparadhbodh	अपराधबोध
japhar	जफर
bajariya	बजरिया
aircooled	एयरकूल्ड
affairs	अफेयर्स
anarchy	एनार्की
hangal	हंगल
pahwa	पाहवा
kanwaljit	कंवलजीत
chaurangi	चौरंगी
chhipne	छिपने
mahadhamani	महाधमनी
aspirin	एस्प्रिन
munni	मुन्नी
aakramanon	आक्रमणों
vavjood	वावजूद
mnahi	मनाही
manchuriyan	मंचूरियन
shoshk	शोषक
nrutyaanganaa	नृत्यांगना
gaai	गाई
seatu	सीटू
manochikitsak	मनोचिकित्सा
aparipakkta	अपरिपक्वता
pighlana	पिघलना
satv	सत्व
hasiyat	हैसियत
nirbharta	निर्भरता
anukarniy	अनुकरणीय
rekhaaon	रेखाओं
mataen	माताएं
samvida	संविदा
barfaani	बर्फानी
kenain	केनाइन
uddhamsheelata	उद्यमशीलता
raste	रास्ते
muqaddar	मुकद्दर
rabbi	रब्बी
ramayankalin	रामायणकालीन
jalashayon	जलाशयों
udaati	उड़ाती
sadsyagan	सदस्यगण
sadhakon	साधकों
adhikaariyon	अधिकारीयों
patilputra	पाटलिपुत्र
maryadit	मर्यादित
metalargi	मेटलर्जी
sahyogpurn	सहयोगपूर्ण
ladaa	लड़ा
kishanpura	किशनपुर
pakshiyon	पक्षियों
pinnochio	पिनोकियो
kufir	कुफरी
tyon	त्यों
rangmanadle	रंगमंडल
taakataa	ताकता
samajhta	समझता
anandamay	आनंदमय
robartssaganj	राबर्ट्सगंज
katata	काटता
dhansaa	धंसा
harleen	हरलीन
bulimiya	बुलिमिया
jadmool	जड़मूल
jansttaa	जनसत्ता
aramaan	अरमान
ankahe	अनकहे
mahadripiy	महाद्वीपीय
parshvgayika	पार्श्वगायिका
railgaadi	रेलगाड़ी
pikar	पीकर
panktiyan	पंक्तियां
afghani	अफ़गानी
ayyadhurai	अय्यदुरई
khalilabad	खलीलाबाद
bagle	बगले
genul	जैनुल
rti	आरटीआई
jhag	झाग
juraabein	जुराबें
rishtedaar	रिश्तेदार
maanen	मानें
jitnaa	जितना
sacchai	सच्चाई
dhakate	ढकते
bahnoi	बहनोई
bhajataa	भजता
radiology	रेडियोलॉजी
mehendipur	मेंहदीपुर
tarapith	तारापीठ
charminar	चारमीनार
bhindi	भिंडी
barsilona	बार्सिलोना
wyaskon	वयस्कों
tanmayata	तन्मयता
vegenar	वेगेनर
holes	होल्स
jalai	जलाई
emelia	एमिलियो
imarti	इमरती
bandhkon	बंधकों
thehrai	ठहराई
tilhani	तिलहनी
supurtra	सुपुत्र
ygyadi	यज्ञादि
trutipurn	त्रुटिपूर्ण
kalatmakata	कलात्मकता
delawear	डेलावेयर
icchhadhaari	इच्छाधारी
loeweon	लोइयों
sardiyan	सर्दियों
abhivaadan	अभिवादन
gandharvrsen	गंधर्वसेन
aushdhiyon	औषधियों
shivad	शिवाड़
uthati	उठती
smrutilekh	स्मृतिलेख
scr	एससीआर
abhyuday	अभ्युदय
karmnyata	अकर्मण्यता
bagharne	बघारने
stilwell	स्टिलवेल
babeeta	बबीता
sankatmukat	संकटमुक्त
rajdhaaniyon	राजधानियों
misrawasiyon	मिस्रवासियों
diagnosis	डायग्नोसिस
vishwavyapi	विश्वव्यापी
vivartaniki	विवर्तनिकी
baital	बैटल
meghvanshi	मेघवंशी
grened	ग्रेनेड
cartoonist	कार्टूनिस्ट
paatni	पाटनी
mughliya	मुगालिया
ekaadhikaar	एकाधिकार
jaruraton	ज़रूरतों
janamorcha	जनमोर्चा
veeramani	वीरमणि
meharabnuma	मेहराबनुमा
ladkiyon	लड़कियों
directores	डायरेक्टर्स
muheem	मुहीम
posters	पोस्टर्स
bailbute	बेलबूटे
jaaton	जाटों
shung	शुंग
throat	थ्रोट
navsaakshar	नवसाक्षर
vicharvimarsh	विचारविमर्श
anadajan	अंदाजन
karmapa	करमापा
meesa	मीसा
chamde	चमड़े
samjhautavadi	समझौतावादी
kulish	कुलिश
serveron	सर्वरों
mandaloee	मंडलोई
sajni	सजनी
sunkeepan	सनकीपन
kantkon	कंटकों
nikalein	निकालें
mohiuddin	मोहिउद्दीन
orkestra	ऑर्केस्ट्रा
laalas	लालस
shaikshik	शैक्षिक
bhejti	भेजती
kamya	काम्या
